Elapsed Time: 0.00 seconds | Position: x=-7.56, y=9.64
Elapsed Time: 11.74 seconds | Position: x=-7.61, y=9.60
Elapsed Time: 12.31 seconds | Position: x=-7.64, y=9.59
Elapsed Time: 12.81 seconds | Position: x=-7.62, y=9.59
Elapsed Time: 13.31 seconds | Position: x=-7.68, y=9.59
Elapsed Time: 13.70 seconds | Position: x=-7.80, y=9.65
Elapsed Time: 14.10 seconds | Position: x=-7.90, y=9.72
Elapsed Time: 14.31 seconds | Position: x=-7.98, y=9.79
Elapsed Time: 14.51 seconds | Position: x=-8.05, y=9.89
Elapsed Time: 14.81 seconds | Position: x=-8.12, y=10.00
Elapsed Time: 15.00 seconds | Position: x=-8.19, y=10.10
Elapsed Time: 15.50 seconds | Position: x=-8.26, y=10.18
Elapsed Time: 15.51 seconds | Position: x=-8.31, y=10.28
Elapsed Time: 15.81 seconds | Position: x=-8.36, y=10.45
Elapsed Time: 16.20 seconds | Position: x=-8.43, y=10.62
Elapsed Time: 16.52 seconds | Position: x=-8.49, y=10.79
Elapsed Time: 16.91 seconds | Position: x=-8.55, y=10.95
Elapsed Time: 17.53 seconds | Position: x=-8.61, y=11.11
Elapsed Time: 17.61 seconds | Position: x=-8.68, y=11.28
Elapsed Time: 18.01 seconds | Position: x=-8.75, y=11.44
Elapsed Time: 18.30 seconds | Position: x=-8.82, y=11.60
Elapsed Time: 18.71 seconds | Position: x=-8.88, y=11.77
Elapsed Time: 19.01 seconds | Position: x=-8.95, y=11.94
Elapsed Time: 19.71 seconds | Position: x=-9.04, y=12.13
Elapsed Time: 19.72 seconds | Position: x=-9.10, y=12.30
Elapsed Time: 20.11 seconds | Position: x=-9.17, y=12.45
Elapsed Time: 20.43 seconds | Position: x=-9.24, y=12.62
Elapsed Time: 20.81 seconds | Position: x=-9.29, y=12.78
Elapsed Time: 21.13 seconds | Position: x=-9.34, y=12.96
Elapsed Time: 21.85 seconds | Position: x=-9.37, y=13.14
Elapsed Time: 21.91 seconds | Position: x=-9.41, y=13.31
Elapsed Time: 22.21 seconds | Position: x=-9.44, y=13.47
Elapsed Time: 22.61 seconds | Position: x=-9.49, y=13.64
Elapsed Time: 22.91 seconds | Position: x=-9.56, y=13.80
Elapsed Time: 23.32 seconds | Position: x=-9.62, y=13.96
Elapsed Time: 23.53 seconds | Position: x=-9.66, y=14.06
Elapsed Time: 24.03 seconds | Position: x=-9.70, y=14.15
Elapsed Time: 24.04 seconds | Position: x=-9.75, y=14.26
Elapsed Time: 24.21 seconds | Position: x=-9.80, y=14.36
Elapsed Time: 24.51 seconds | Position: x=-9.88, y=14.47
Elapsed Time: 24.70 seconds | Position: x=-9.95, y=14.56
Elapsed Time: 24.91 seconds | Position: x=-10.04, y=14.66
Elapsed Time: 25.20 seconds | Position: x=-10.11, y=14.75
Elapsed Time: 25.40 seconds | Position: x=-10.17, y=14.85
Elapsed Time: 25.62 seconds | Position: x=-10.23, y=14.95
Elapsed Time: 26.14 seconds | Position: x=-10.30, y=15.07
Elapsed Time: 26.33 seconds | Position: x=-10.37, y=15.23
Elapsed Time: 26.70 seconds | Position: x=-10.40, y=15.37
