# robot.pose.x robot.pose.y 
-3.52435 -0.33756 
-3.45602 -0.462814 
-3.46969 -0.462777 
-3.46835 -0.463431 
-3.46675 -0.459051 
-3.47328 -0.458406 
-3.47407 -0.474786 
-3.47063 -0.48175 
-3.46644 -0.477691 
-3.46509 -0.469003 
-3.46447 -0.464179 
-3.47033 -0.469773 
-3.46929 -0.458338 
-3.4769 -0.4746 
-3.47092 -0.461414 
-3.47147 -0.467877 
-3.46977 -0.457086 
-3.47002 -0.457369 
-3.47584 -0.475823 
-3.4685 -0.45956 
-3.47247 -0.465535 
-3.46734 -0.458004 
-3.4685 -0.464905 
-3.46603 -0.453467 
-3.46442 -0.455953 
-3.46574 -0.456185 
-3.47034 -0.4671 
-3.47035 -0.467177 
-3.47864 -0.467853 
-3.47565 -0.47242 
-3.46786 -0.460234 
-3.46773 -0.460354 
-3.47497 -0.473746 
-3.48063 -0.476495 
-3.47676 -0.459438 
-3.46824 -0.464061 
-3.47898 -0.474974 
-3.46779 -0.45657 
-3.47016 -0.45487 
-3.46582 -0.458794 
-3.47393 -0.461252 
-3.47389 -0.461348 
-3.47264 -0.462103 
-3.47067 -0.45972 
-3.48787 -0.481481 
-3.46547 -0.450649 
-3.47797 -0.465794 
-3.47098 -0.463806 
-3.47602 -0.470289 
-3.46663 -0.459238 
-3.46671 -0.459325 
-3.4751 -0.464847 
-3.48029 -0.472393 
-3.474 -0.4681 
-3.47401 -0.468179 
-3.47304 -0.463989 
-3.47782 -0.465602 
-3.47295 -0.461102 
-3.47349 -0.468089 
-3.47333 -0.464662 
-3.47463 -0.4719 
-3.47463 -0.4719 
-3.47471 -0.481114 
-3.47658 -0.468813 
-3.48373 -0.471372 
-3.47577 -0.467696 
-3.47617 -0.474907 
-3.47617 -0.474907 
-3.47394 -0.463781 
-3.47553 -0.463936 
-3.47725 -0.473836 
-3.47435 -0.464652 
-3.46431 -0.459278 
-3.46572 -0.454901 
-3.46572 -0.454901 
-3.47439 -0.468771 
-3.46726 -0.459016 
-3.47067 -0.460321 
-3.47699 -0.472341 
-3.47167 -0.470851 
-3.46686 -0.466983 
-3.46686 -0.466983 
-3.47446 -0.465479 
-3.4652 -0.459654 
-3.48201 -0.474162 
-3.4776 -0.471149 
-3.46907 -0.463994 
-3.476 -0.462871 
-3.476 -0.462871 
-3.47577 -0.458228 
-3.47746 -0.46927 
-3.46964 -0.46406 
-3.479 -0.471383 
-3.47593 -0.464373 
-3.47606 -0.468468 
-3.47446 -0.460329 
-3.47733 -0.47154 
-3.48584 -0.48493 
-3.46521 -0.458903 
-3.47715 -0.464831 
-3.47715 -0.464831 
-3.47795 -0.476346 
-3.46191 -0.455773 
-3.47715 -0.471964 
-3.47308 -0.469881 
-3.47632 -0.468288 
-3.47868 -0.470576 
-3.47868 -0.470576 
-3.46844 -0.462023 
-3.46991 -0.464017 
-3.46888 -0.460702 
-3.46683 -0.45348 
-3.46926 -0.460044 
-3.46926 -0.460044 
-3.47165 -0.45817 
-3.46918 -0.465141 
-3.46903 -0.45992 
-3.46713 -0.457742 
-3.47318 -0.470695 
-3.47053 -0.455993 
-3.47053 -0.455993 
-3.4696 -0.459088 
-3.46505 -0.455882 
-3.47357 -0.467935 
-3.46797 -0.462085 
-3.47192 -0.463874 
-3.47192 -0.463874 
-3.48329 -0.474956 
-3.47347 -0.471123 
-3.47745 -0.473934 
-3.46991 -0.458054 
-3.46443 -0.465141 
-3.47238 -0.468454 
-3.47321 -0.470375 
-3.4739 -0.470319 
-3.46713 -0.451918 
-3.47102 -0.465873 
-3.47164 -0.45937 
-3.47817 -0.46897 
-3.47817 -0.46897 
-3.46726 -0.467749 
-3.47799 -0.475101 
-3.46419 -0.443192 
-3.47859 -0.481739 
-3.4684 -0.460292 
-3.46758 -0.454636 
-3.472 -0.471189 
-3.472 -0.471189 
-3.47548 -0.46868 
-3.48077 -0.459308 
-3.47182 -0.465183 
-3.46913 -0.45865 
-3.46436 -0.460044 
-3.46685 -0.459266 
-3.46543 -0.462811 
-3.47248 -0.459604 
-3.47248 -0.459604 
-3.47058 -0.461838 
-3.46588 -0.45671 
-3.47854 -0.460907 
-3.47854 -0.460907 
-3.46394 -0.462958 
-3.47409 -0.463806 
-3.4797 -0.466499 
-3.47693 -0.46106 
-3.47487 -0.46596 
-3.47487 -0.46596 
-3.47118 -0.46678 
-3.47117 -0.459932 
-3.47072 -0.464101 
-3.48 -0.472707 
-3.47915 -0.470865 
-3.47915 -0.470865 
-3.48244 -0.473484 
-3.4808 -0.47308 
-3.46683 -0.462928 
-3.46288 -0.450536 
-3.4724 -0.455161 
-3.46871 -0.446148 
-3.48445 -0.466817 
-3.48445 -0.466817 
-3.46971 -0.46693 
-3.47745 -0.46139 
-3.46333 -0.458631 
-3.46296 -0.449737 
-3.47034 -0.457138 
-3.47175 -0.462757 
-3.46398 -0.459841 
-3.47831 -0.468802 
-3.46946 -0.460589 
-3.47309 -0.470801 
-3.46668 -0.460328 
-3.46668 -0.460328 
-3.47265 -0.465871 
-3.47124 -0.468036 
-3.47853 -0.461491 
-3.47294 -0.463062 
-3.48737 -0.475227 
-3.47429 -0.464743 
-3.48242 -0.471421 
-3.47268 -0.463123 
-3.47268 -0.463123 
-3.47697 -0.474421 
-3.46656 -0.461179 
-3.46656 -0.461179 
-3.46609 -0.469896 
-3.46499 -0.456825 
-3.46359 -0.459029 
-3.46676 -0.456398 
-3.47218 -0.464956 
-3.46891 -0.459525 
-3.46891 -0.459525 
-3.472 -0.459256 
-3.46161 -0.453227 
-3.47778 -0.460768 
-3.47368 -0.467469 
-3.46302 -0.459535 
-3.46302 -0.459535 
-3.48153 -0.479334 
-3.46791 -0.463669 
-3.4744 -0.467826 
-3.47465 -0.464711 
-3.48066 -0.469933 
-3.48803 -0.483753 
-3.48803 -0.483753 
-3.47464 -0.46588 
-3.48156 -0.471447 
-3.47536 -0.469973 
-3.48436 -0.475799 
-3.47275 -0.467645 
-3.47275 -0.467645 
-3.46823 -0.460578 
-3.47257 -0.464565 
-3.47565 -0.471692 
-3.4676 -0.463733 
-3.46604 -0.463944 
-3.4771 -0.471943 
-3.4771 -0.471943 
-3.47039 -0.467902 
-3.46769 -0.453736 
-3.46727 -0.462646 
-3.4819 -0.470683 
-3.46884 -0.469916 
-3.47615 -0.470392 
-3.47679 -0.472595 
-3.47381 -0.463998 
-3.46476 -0.457884 
-3.46991 -0.461436 
-3.47444 -0.468118 
-3.47055 -0.468456 
-3.47055 -0.468456 
-3.48056 -0.475832 
-3.47409 -0.461627 
-3.47233 -0.466573 
-3.46709 -0.455699 
-3.46248 -0.45568 
-3.473 -0.460065 
-3.473 -0.460065 
-3.46991 -0.464349 
-3.47415 -0.463025 
-3.46615 -0.457442 
-3.46725 -0.459376 
-3.47152 -0.474641 
-3.47152 -0.474641 
-3.47314 -0.464726 
-3.47862 -0.473742 
-3.4762 -0.461467 
-3.47553 -0.467254 
-3.47156 -0.4619 
