Elapsed Time: 0.00 seconds | Position: x=-15.21, y=8.94
Elapsed Time: 3.42 seconds | Position: x=-15.07, y=9.01
Elapsed Time: 3.71 seconds | Position: x=-14.97, y=9.05
Elapsed Time: 4.11 seconds | Position: x=-14.82, y=9.08
Elapsed Time: 4.31 seconds | Position: x=-14.72, y=9.08
Elapsed Time: 4.88 seconds | Position: x=-14.60, y=9.09
Elapsed Time: 4.89 seconds | Position: x=-14.50, y=9.07
Elapsed Time: 5.01 seconds | Position: x=-14.39, y=9.04
Elapsed Time: 5.22 seconds | Position: x=-14.29, y=9.00
Elapsed Time: 5.51 seconds | Position: x=-14.20, y=8.96
Elapsed Time: 5.71 seconds | Position: x=-14.13, y=8.89
Elapsed Time: 5.95 seconds | Position: x=-14.04, y=8.81
Elapsed Time: 6.20 seconds | Position: x=-13.96, y=8.74
Elapsed Time: 6.40 seconds | Position: x=-13.88, y=8.65
Elapsed Time: 7.15 seconds | Position: x=-13.82, y=8.57
Elapsed Time: 7.15 seconds | Position: x=-13.74, y=8.49
Elapsed Time: 7.16 seconds | Position: x=-13.67, y=8.42
Elapsed Time: 7.41 seconds | Position: x=-13.58, y=8.35
Elapsed Time: 7.61 seconds | Position: x=-13.51, y=8.28
Elapsed Time: 7.81 seconds | Position: x=-13.42, y=8.21
Elapsed Time: 8.12 seconds | Position: x=-13.32, y=8.12
Elapsed Time: 8.30 seconds | Position: x=-13.21, y=8.06
Elapsed Time: 8.52 seconds | Position: x=-13.11, y=8.00
Elapsed Time: 9.09 seconds | Position: x=-13.00, y=7.94
Elapsed Time: 9.09 seconds | Position: x=-12.88, y=7.87
Elapsed Time: 9.30 seconds | Position: x=-12.75, y=7.80
Elapsed Time: 9.50 seconds | Position: x=-12.64, y=7.75
Elapsed Time: 9.71 seconds | Position: x=-12.52, y=7.69
Elapsed Time: 10.02 seconds | Position: x=-12.43, y=7.64
Elapsed Time: 10.26 seconds | Position: x=-12.34, y=7.59
Elapsed Time: 10.41 seconds | Position: x=-12.23, y=7.53
Elapsed Time: 10.71 seconds | Position: x=-12.13, y=7.47
Elapsed Time: 11.26 seconds | Position: x=-12.02, y=7.40
Elapsed Time: 11.26 seconds | Position: x=-11.92, y=7.33
Elapsed Time: 11.40 seconds | Position: x=-11.83, y=7.26
Elapsed Time: 11.61 seconds | Position: x=-11.73, y=7.18
Elapsed Time: 11.91 seconds | Position: x=-11.63, y=7.08
Elapsed Time: 12.10 seconds | Position: x=-11.53, y=6.98
Elapsed Time: 12.31 seconds | Position: x=-11.44, y=6.88
Elapsed Time: 12.61 seconds | Position: x=-11.37, y=6.80
Elapsed Time: 12.80 seconds | Position: x=-11.31, y=6.71
Elapsed Time: 13.36 seconds | Position: x=-11.23, y=6.61
Elapsed Time: 13.37 seconds | Position: x=-11.15, y=6.50
Elapsed Time: 13.50 seconds | Position: x=-11.09, y=6.39
Elapsed Time: 13.90 seconds | Position: x=-11.00, y=6.24
Elapsed Time: 14.21 seconds | Position: x=-10.91, y=6.09
Elapsed Time: 14.44 seconds | Position: x=-10.85, y=6.00
Elapsed Time: 14.71 seconds | Position: x=-10.80, y=5.91
Elapsed Time: 14.91 seconds | Position: x=-10.73, y=5.80
Elapsed Time: 15.50 seconds | Position: x=-10.67, y=5.72
Elapsed Time: 15.51 seconds | Position: x=-10.60, y=5.61
Elapsed Time: 15.61 seconds | Position: x=-10.53, y=5.51
Elapsed Time: 15.90 seconds | Position: x=-10.47, y=5.41
Elapsed Time: 16.10 seconds | Position: x=-10.39, y=5.30
Elapsed Time: 16.32 seconds | Position: x=-10.31, y=5.20
Elapsed Time: 16.60 seconds | Position: x=-10.24, y=5.09
Elapsed Time: 16.81 seconds | Position: x=-10.17, y=4.99
Elapsed Time: 17.03 seconds | Position: x=-10.09, y=4.87
Elapsed Time: 17.64 seconds | Position: x=-10.03, y=4.77
Elapsed Time: 17.65 seconds | Position: x=-9.96, y=4.69
Elapsed Time: 17.81 seconds | Position: x=-9.89, y=4.59
Elapsed Time: 18.00 seconds | Position: x=-9.82, y=4.50
Elapsed Time: 18.22 seconds | Position: x=-9.76, y=4.42
Elapsed Time: 18.50 seconds | Position: x=-9.69, y=4.31
Elapsed Time: 18.70 seconds | Position: x=-9.63, y=4.21
Elapsed Time: 18.92 seconds | Position: x=-9.56, y=4.11
Elapsed Time: 19.20 seconds | Position: x=-9.49, y=3.99
Elapsed Time: 19.69 seconds | Position: x=-9.42, y=3.89
Elapsed Time: 19.70 seconds | Position: x=-9.36, y=3.81
Elapsed Time: 19.90 seconds | Position: x=-9.29, y=3.72
Elapsed Time: 20.12 seconds | Position: x=-9.21, y=3.62
Elapsed Time: 20.41 seconds | Position: x=-9.14, y=3.52
Elapsed Time: 20.60 seconds | Position: x=-9.06, y=3.40
