Elapsed Time: 0.00 seconds | Position: x=1.19, y=5.47
Elapsed Time: 3.39 seconds | Position: x=1.20, y=5.38
Elapsed Time: 3.41 seconds | Position: x=1.22, y=5.21
Elapsed Time: 3.52 seconds | Position: x=1.22, y=5.13
Elapsed Time: 3.82 seconds | Position: x=1.22, y=5.01
Elapsed Time: 4.00 seconds | Position: x=1.20, y=4.92
Elapsed Time: 4.32 seconds | Position: x=1.19, y=4.79
Elapsed Time: 4.51 seconds | Position: x=1.20, y=4.68
Elapsed Time: 4.72 seconds | Position: x=1.21, y=4.56
Elapsed Time: 5.34 seconds | Position: x=1.21, y=4.44
Elapsed Time: 5.35 seconds | Position: x=1.21, y=4.32
Elapsed Time: 5.42 seconds | Position: x=1.20, y=4.23
Elapsed Time: 5.70 seconds | Position: x=1.20, y=4.14
Elapsed Time: 5.91 seconds | Position: x=1.20, y=4.05
Elapsed Time: 6.20 seconds | Position: x=1.19, y=3.95
Elapsed Time: 6.42 seconds | Position: x=1.19, y=3.86
Elapsed Time: 6.66 seconds | Position: x=1.19, y=3.73
Elapsed Time: 6.91 seconds | Position: x=1.19, y=3.64
Elapsed Time: 7.47 seconds | Position: x=1.19, y=3.55
Elapsed Time: 7.49 seconds | Position: x=1.18, y=3.46
Elapsed Time: 7.61 seconds | Position: x=1.16, y=3.38
Elapsed Time: 7.82 seconds | Position: x=1.18, y=3.21
Elapsed Time: 8.03 seconds | Position: x=1.13, y=3.19
Elapsed Time: 8.31 seconds | Position: x=1.10, y=3.10
Elapsed Time: 8.50 seconds | Position: x=1.08, y=3.00
Elapsed Time: 8.80 seconds | Position: x=1.06, y=2.90
Elapsed Time: 9.01 seconds | Position: x=1.03, y=2.81
Elapsed Time: 9.65 seconds | Position: x=0.99, y=2.74
Elapsed Time: 9.67 seconds | Position: x=0.95, y=2.66
Elapsed Time: 9.75 seconds | Position: x=0.91, y=2.55
Elapsed Time: 9.93 seconds | Position: x=0.86, y=2.47
Elapsed Time: 10.20 seconds | Position: x=0.82, y=2.39
Elapsed Time: 10.41 seconds | Position: x=0.76, y=2.32
Elapsed Time: 10.62 seconds | Position: x=0.72, y=2.20
Elapsed Time: 10.91 seconds | Position: x=0.68, y=2.11
Elapsed Time: 11.11 seconds | Position: x=0.61, y=2.00
Elapsed Time: 11.63 seconds | Position: x=0.58, y=1.85
Elapsed Time: 11.65 seconds | Position: x=0.53, y=1.71
Elapsed Time: 11.81 seconds | Position: x=0.47, y=1.58
Elapsed Time: 12.11 seconds | Position: x=0.42, y=1.44
Elapsed Time: 12.30 seconds | Position: x=0.36, y=1.29
Elapsed Time: 12.51 seconds | Position: x=0.32, y=1.13
Elapsed Time: 12.82 seconds | Position: x=0.25, y=0.97
Elapsed Time: 13.01 seconds | Position: x=0.20, y=0.82
Elapsed Time: 13.21 seconds | Position: x=0.10, y=0.64
Elapsed Time: 13.87 seconds | Position: x=0.05, y=0.50
Elapsed Time: 13.88 seconds | Position: x=-0.01, y=0.37
Elapsed Time: 13.91 seconds | Position: x=-0.07, y=0.27
Elapsed Time: 14.22 seconds | Position: x=-0.13, y=0.15
Elapsed Time: 14.40 seconds | Position: x=-0.22, y=0.05
Elapsed Time: 14.70 seconds | Position: x=-0.30, y=-0.03
Elapsed Time: 14.89 seconds | Position: x=-0.42, y=-0.12
Elapsed Time: 15.22 seconds | Position: x=-0.56, y=-0.24
Elapsed Time: 15.89 seconds | Position: x=-0.69, y=-0.29
Elapsed Time: 16.00 seconds | Position: x=-0.84, y=-0.36
Elapsed Time: 16.30 seconds | Position: x=-1.01, y=-0.44
Elapsed Time: 16.71 seconds | Position: x=-1.19, y=-0.49
Elapsed Time: 17.00 seconds | Position: x=-1.36, y=-0.54
Elapsed Time: 17.40 seconds | Position: x=-1.51, y=-0.58
Elapsed Time: 17.96 seconds | Position: x=-1.67, y=-0.63
Elapsed Time: 18.10 seconds | Position: x=-1.85, y=-0.69
Elapsed Time: 18.41 seconds | Position: x=-2.01, y=-0.73
Elapsed Time: 18.80 seconds | Position: x=-2.18, y=-0.80
Elapsed Time: 19.11 seconds | Position: x=-2.35, y=-0.85
Elapsed Time: 19.52 seconds | Position: x=-2.54, y=-0.89
Elapsed Time: 20.04 seconds | Position: x=-2.71, y=-0.95
Elapsed Time: 20.20 seconds | Position: x=-2.88, y=-0.99
Elapsed Time: 20.62 seconds | Position: x=-3.05, y=-1.04
Elapsed Time: 20.90 seconds | Position: x=-3.22, y=-1.11
Elapsed Time: 21.30 seconds | Position: x=-3.38, y=-1.18
Elapsed Time: 21.60 seconds | Position: x=-3.54, y=-1.25
Elapsed Time: 22.17 seconds | Position: x=-3.72, y=-1.32
Elapsed Time: 22.31 seconds | Position: x=-3.88, y=-1.39
Elapsed Time: 22.69 seconds | Position: x=-4.04, y=-1.44
Elapsed Time: 23.01 seconds | Position: x=-4.23, y=-1.50
Elapsed Time: 23.39 seconds | Position: x=-4.39, y=-1.55
Elapsed Time: 23.60 seconds | Position: x=-4.52, y=-1.57
Elapsed Time: 23.90 seconds | Position: x=-4.63, y=-1.58
Elapsed Time: 24.46 seconds | Position: x=-4.76, y=-1.58
Elapsed Time: 24.47 seconds | Position: x=-4.89, y=-1.57
Elapsed Time: 24.59 seconds | Position: x=-5.01, y=-1.56
Elapsed Time: 24.79 seconds | Position: x=-5.12, y=-1.53
Elapsed Time: 25.01 seconds | Position: x=-5.23, y=-1.49
Elapsed Time: 25.29 seconds | Position: x=-5.33, y=-1.46
Elapsed Time: 25.50 seconds | Position: x=-5.43, y=-1.41
Elapsed Time: 25.85 seconds | Position: x=-5.54, y=-1.34
Elapsed Time: 25.99 seconds | Position: x=-5.65, y=-1.27
Elapsed Time: 26.63 seconds | Position: x=-5.73, y=-1.20
Elapsed Time: 26.64 seconds | Position: x=-5.83, y=-1.12
Elapsed Time: 26.69 seconds | Position: x=-5.93, y=-1.05
Elapsed Time: 26.90 seconds | Position: x=-6.01, y=-0.95
Elapsed Time: 27.19 seconds | Position: x=-6.09, y=-0.92
Elapsed Time: 27.40 seconds | Position: x=-6.19, y=-0.82
Elapsed Time: 27.60 seconds | Position: x=-6.27, y=-0.73
Elapsed Time: 27.89 seconds | Position: x=-6.36, y=-0.64
Elapsed Time: 28.09 seconds | Position: x=-6.44, y=-0.57
Elapsed Time: 28.72 seconds | Position: x=-6.53, y=-0.46
Elapsed Time: 28.73 seconds | Position: x=-6.61, y=-0.37
Elapsed Time: 28.83 seconds | Position: x=-6.69, y=-0.26
Elapsed Time: 29.09 seconds | Position: x=-6.76, y=-0.17
Elapsed Time: 29.29 seconds | Position: x=-6.84, y=-0.08
Elapsed Time: 29.50 seconds | Position: x=-6.91, y=0.02
Elapsed Time: 29.79 seconds | Position: x=-6.95, y=0.09
Elapsed Time: 29.99 seconds | Position: x=-7.01, y=0.18
Elapsed Time: 30.64 seconds | Position: x=-7.11, y=0.34
Elapsed Time: 30.69 seconds | Position: x=-7.19, y=0.50
Elapsed Time: 30.92 seconds | Position: x=-7.25, y=0.60
Elapsed Time: 31.29 seconds | Position: x=-7.33, y=0.76
Elapsed Time: 31.70 seconds | Position: x=-7.40, y=0.89
Elapsed Time: 32.00 seconds | Position: x=-7.47, y=1.03
Elapsed Time: 32.40 seconds | Position: x=-7.55, y=1.18
Elapsed Time: 32.90 seconds | Position: x=-7.61, y=1.28
Elapsed Time: 33.01 seconds | Position: x=-7.71, y=1.44
Elapsed Time: 33.30 seconds | Position: x=-7.79, y=1.59
Elapsed Time: 33.73 seconds | Position: x=-7.87, y=1.72
Elapsed Time: 33.90 seconds | Position: x=-7.93, y=1.82
Elapsed Time: 34.10 seconds | Position: x=-7.99, y=2.00
Elapsed Time: 34.39 seconds | Position: x=-8.05, y=2.00
Elapsed Time: 34.59 seconds | Position: x=-8.10, y=2.09
Elapsed Time: 35.13 seconds | Position: x=-8.18, y=2.22
Elapsed Time: 35.14 seconds | Position: x=-8.25, y=2.33
Elapsed Time: 35.40 seconds | Position: x=-8.31, y=2.49
Elapsed Time: 35.70 seconds | Position: x=-8.37, y=2.58
Elapsed Time: 35.89 seconds | Position: x=-8.44, y=2.70
Elapsed Time: 36.12 seconds | Position: x=-8.51, y=2.80
Elapsed Time: 36.40 seconds | Position: x=-8.56, y=2.89
Elapsed Time: 36.59 seconds | Position: x=-8.61, y=2.96
Elapsed Time: 37.10 seconds | Position: x=-8.67, y=3.05
Elapsed Time: 37.11 seconds | Position: x=-8.74, y=3.16
Elapsed Time: 37.31 seconds | Position: x=-8.80, y=3.26
