# robot.pose.x robot.pose.y robot.pose.theta 
-1.74219 6.51624 -1.54345 
-1.65756 6.38289 -1.55596 
-1.64228 6.36683 -1.56079 
-1.60216 6.33335 -1.57126 
-1.64103 6.37327 -1.56397 
-1.60476 6.35849 -1.56435 
-1.62244 6.35193 -1.55733 
-1.64986 6.35874 -1.55801 
-1.60394 6.32794 -1.57552 
-1.60736 6.34316 -1.56666 
-1.67462 6.36735 -1.55727 
-1.6826 6.36816 -1.55699 
-1.6833 6.36374 -1.55777 
-1.66273 6.35178 -1.56592 
-1.63141 6.34999 -1.56943 
-1.63406 6.35292 -1.56176 
-1.61476 6.34329 -1.56274 
-1.63346 6.3509 -1.56345 
-1.63105 6.35271 -1.564 
-1.60841 6.34439 -1.57175 
-1.58967 6.32165 -1.57916 
-1.62343 6.35541 -1.56791 
-1.65307 6.36602 -1.55724 
-1.64897 6.35931 -1.55652 
-1.59879 6.34 -1.56546 
-1.59737 6.3519 -1.56992 
-1.60685 6.34099 -1.56465 
-1.58561 6.32175 -1.57817 
-1.6028 6.34233 -1.5675 
-1.6295 6.34827 -1.56433 
-1.62516 6.33306 -1.5705 
-1.62499 6.33305 -1.57066 
-1.65211 6.36193 -1.55732 
-1.63085 6.35169 -1.56329 
-1.63368 6.35457 -1.56353 
-1.62236 6.3506 -1.56654 
-1.62464 6.35466 -1.56626 
-1.60796 6.34453 -1.57186 
-1.60773 6.34442 -1.57197 
-1.61619 6.34379 -1.5682 
-1.62455 6.35214 -1.56618 
-1.60911 6.34266 -1.57119 
-1.59449 6.31573 -1.58037 
-1.6163 6.3472 -1.56878 
-1.61624 6.34722 -1.56883 
-1.62177 6.34614 -1.5678 
-1.60369 6.34085 -1.57174 
-1.59236 6.31847 -1.57839 
-1.6102 6.34561 -1.57171 
-1.63775 6.35409 -1.56217 
-1.62594 6.3303 -1.56947 
-1.5932 6.33254 -1.57785 
-1.59699 6.33662 -1.57797 
-1.60385 6.33042 -1.57363 
-1.62379 6.3478 -1.56584 
-1.62648 6.35088 -1.5656 
-1.61169 6.34254 -1.57061 
-1.61341 6.34065 -1.57129 
-1.61341 6.34066 -1.57131 
-1.61959 6.34132 -1.56777 
-1.61661 6.34458 -1.56987 
-1.62606 6.34734 -1.56611 
-1.62872 6.35035 -1.56576 
-1.5895 6.31614 -1.58351 
-1.60765 6.31459 -1.58023 
-1.62335 6.35511 -1.55625 
-1.60742 6.35289 -1.57592 
-1.5965 6.33686 -1.56984 
-1.59424 6.35509 -1.56151 
-1.61684 6.35049 -1.57048 
-1.59508 6.32893 -1.57683 
-1.63557 6.3581 -1.56299 
-1.6356 6.35817 -1.56299 
-1.60952 6.34493 -1.57124 
-1.59364 6.34717 -1.56621 
-1.60362 6.34299 -1.56231 
-1.62759 6.35269 -1.5663 
-1.61774 6.34694 -1.56937 
-1.62375 6.35002 -1.5678 
-1.61826 6.34864 -1.56839 
-1.61366 6.34064 -1.57062 
-1.60541 6.33735 -1.57269 
-1.60099 6.33359 -1.57564 
-1.6086 6.34181 -1.57094 
-1.60823 6.34117 -1.57098 
-1.61422 6.34869 -1.56972 
-1.60503 6.34934 -1.57376 
-1.60995 6.35001 -1.57201 
-1.63381 6.36393 -1.56361 
-1.62449 6.36008 -1.5615 
-1.637 6.36474 -1.56226 
-1.63639 6.36488 -1.56229 
-1.59692 6.35125 -1.57796 
-1.5988 6.35106 -1.56484 
-1.62548 6.36129 -1.56694 
-1.59884 6.34304 -1.57438 
-1.61585 6.35643 -1.56875 
-1.61583 6.35644 -1.56877 
-1.61785 6.35652 -1.56959 
-1.59839 6.34241 -1.57527 
-1.62244 6.35218 -1.56795 
-1.62981 6.36124 -1.56632 
-1.61745 6.36057 -1.56917 
-1.60634 6.34393 -1.57489 
-1.60635 6.34391 -1.57491 
-1.62328 6.35804 -1.56852 
-1.62956 6.36167 -1.56554 
-1.59751 6.34073 -1.57684 
-1.60683 6.3522 -1.56995 
-1.60862 6.34434 -1.57333 
-1.60866 6.34435 -1.57333 
-1.63946 6.35632 -1.56009 
-1.62039 6.35317 -1.56763 
-1.62247 6.35328 -1.56707 
-1.61826 6.35486 -1.56898 
-1.6016 6.34405 -1.57229 
-1.60158 6.34402 -1.57231 
-1.60964 6.34677 -1.57197 
-1.6154 6.35082 -1.57069 
-1.61908 6.35631 -1.5666 
-1.62432 6.35563 -1.5661 
-1.61153 6.35448 -1.57169 
-1.59934 6.34607 -1.57249 
-1.59929 6.34604 -1.57249 
-1.60309 6.33946 -1.57435 
-1.62814 6.35828 -1.56578 
-1.59047 6.33455 -1.57971 
-1.60257 6.35235 -1.5637 
-1.61371 6.35579 -1.56588 
-1.62436 6.35837 -1.56599 
-1.62298 6.35107 -1.56718 
-1.60889 6.34653 -1.5714 
-1.5873 6.32505 -1.5794 
-1.60594 6.34152 -1.57307 
-1.60153 6.33609 -1.57442 
-1.60929 6.35729 -1.56178 
-1.60916 6.3572 -1.56177 
-1.57486 6.33682 -1.57436 
-1.60926 6.34743 -1.56978 
-1.62286 6.35256 -1.56465 
-1.59803 6.34154 -1.57454 
-1.57299 6.33882 -1.57192 
-1.57182 6.3382 -1.57224 
-1.61494 6.35175 -1.56614 
-1.62746 6.35681 -1.55796 
-1.62238 6.35515 -1.56706 
-1.59102 6.33317 -1.57545 
-1.6373 6.363 -1.56147 
-1.64831 6.36138 -1.557 
-1.66725 6.36577 -1.55548 
-1.62537 6.35369 -1.5712 
-1.63098 6.3615 -1.5659 
-1.64225 6.35816 -1.56541 
-1.63902 6.36158 -1.56414 
-1.64552 6.35971 -1.56376 
-1.62668 6.35455 -1.56543 
-1.6323 6.36408 -1.56393 
-1.60445 6.35076 -1.57131 
-1.6268 6.35489 -1.56381 
-1.62053 6.35147 -1.56627 
-1.60561 6.34136 -1.57283 
