# robot.pose.x robot.pose.y robot.pose.theta 
-10.3236 -7.68534 -3.06868 
-10.4421 -7.66546 -3.05253 
-10.299 -7.7228 -3.08638 
-10.3223 -7.68695 -3.07767 
-10.3238 -7.67459 -3.07327 
-10.3298 -7.6739 -3.07266 
-10.3165 -7.67239 -3.07367 
-10.3925 -7.67582 -3.06786 
-10.3706 -7.67261 -3.06776 
-10.3694 -7.66457 -3.06598 
-10.4971 -7.63268 -3.03832 
-10.4419 -7.62123 -3.05087 
-10.4108 -7.61994 -3.06176 
-10.4389 -7.63165 -3.04605 
-10.4891 -7.57775 -3.04292 
-10.4392 -7.60695 -3.04808 
-10.4137 -7.57539 -3.04132 
-10.4443 -7.58674 -3.04713 
-10.5035 -7.54679 -3.02415 
-10.537 -7.52119 -3.0165 
-10.5304 -7.52222 -3.01348 
-10.522 -7.55196 -3.02872 
-10.4498 -7.578 -3.04811 
-10.4971 -7.55117 -3.0297 
-10.5311 -7.55522 -3.02831 
-10.4899 -7.5411 -3.02516 
-10.5021 -7.56082 -3.02972 
-10.5645 -7.5419 -3.01911 
-10.4689 -7.56828 -3.04517 
-10.5472 -7.56471 -3.02281 
-10.504 -7.56163 -3.03408 
-10.514 -7.56887 -3.03395 
-10.5146 -7.56854 -3.03388 
-10.4966 -7.58227 -3.03868 
-10.5502 -7.59848 -3.0337 
-10.5106 -7.5633 -3.02866 
-10.5136 -7.54211 -3.02259 
-10.4633 -7.57334 -3.04347 
-10.4782 -7.58373 -3.05111 
-10.4994 -7.55141 -3.03126 
-10.546 -7.55946 -3.03341 
-10.5218 -7.53586 -3.02068 
-10.4999 -7.54699 -3.03685 
-10.4855 -7.5528 -3.03743 
-10.5137 -7.57613 -3.03861 
-10.4994 -7.59019 -3.04721 
-10.4536 -7.58223 -3.0475 
-10.5367 -7.55852 -3.02616 
-10.5444 -7.55197 -3.02501 
-10.5055 -7.57597 -3.03561 
-10.546 -7.53545 -3.02067 
-10.5547 -7.53135 -3.01925 
-10.5417 -7.5244 -3.01444 
-10.5288 -7.56946 -3.0284 
-10.5806 -7.54162 -3.01882 
-10.5521 -7.56387 -3.02649 
-10.5514 -7.5259 -3.01785 
-10.5209 -7.57095 -3.036 
-10.5413 -7.56373 -3.03155 
-10.476 -7.54296 -3.03559 
-10.5351 -7.52683 -3.01763 
-10.5697 -7.53934 -3.02217 
-10.5054 -7.5708 -3.03803 
-10.5237 -7.57601 -3.03453 
-10.5246 -7.57594 -3.03446 
-10.544 -7.53133 -3.01996 
-10.5873 -7.51845 -3.01078 
-10.5167 -7.54211 -3.02594 
-10.4923 -7.55255 -3.03398 
-10.5371 -7.53084 -3.01997 
-10.5877 -7.52131 -3.01451 
-10.5084 -7.56066 -3.03312 
-10.5336 -7.54672 -3.0249 
-10.5089 -7.54549 -3.02895 
-10.5046 -7.59953 -3.03951 
-10.5143 -7.53853 -3.02812 
-10.5061 -7.56034 -3.03459 
-10.5077 -7.5603 -3.0346 
-10.5608 -7.5201 -3.01381 
-10.5394 -7.5309 -3.02116 
-10.4999 -7.53648 -3.02973 
-10.4886 -7.53722 -3.03068 
-10.5672 -7.53966 -3.02194 
-10.5773 -7.54891 -3.02253 
-10.5513 -7.55571 -3.02763 
-10.5485 -7.54702 -3.02655 
-10.4899 -7.56666 -3.03811 
-10.469 -7.59738 -3.04368 
-10.4607 -7.61396 -3.05721 
-10.4635 -7.62417 -3.05488 
-10.4655 -7.62721 -3.05495 
-10.4609 -7.6392 -3.06049 
-10.4589 -7.64567 -3.05366 
-10.447 -7.64296 -3.05422 
-10.4539 -7.66577 -3.06195 
-10.491 -7.67693 -3.05697 
-10.4876 -7.64395 -3.05461 
