Elapsed Time: 0.00 seconds | Position: x=-10.53, y=15.43
Elapsed Time: 8.28 seconds | Position: x=-10.53, y=15.31
Elapsed Time: 8.77 seconds | Position: x=-10.51, y=15.21
Elapsed Time: 9.22 seconds | Position: x=-10.51, y=15.11
Elapsed Time: 9.68 seconds | Position: x=-10.48, y=14.99
Elapsed Time: 10.18 seconds | Position: x=-10.45, y=14.87
Elapsed Time: 10.67 seconds | Position: x=-10.40, y=14.75
Elapsed Time: 11.09 seconds | Position: x=-10.37, y=14.64
Elapsed Time: 11.58 seconds | Position: x=-10.33, y=14.50
Elapsed Time: 12.08 seconds | Position: x=-10.29, y=14.38
Elapsed Time: 12.51 seconds | Position: x=-10.25, y=14.26
Elapsed Time: 12.98 seconds | Position: x=-10.20, y=14.16
Elapsed Time: 13.48 seconds | Position: x=-10.14, y=14.05
Elapsed Time: 13.98 seconds | Position: x=-10.09, y=13.94
Elapsed Time: 14.40 seconds | Position: x=-10.05, y=13.84
Elapsed Time: 14.78 seconds | Position: x=-10.01, y=13.75
Elapsed Time: 15.11 seconds | Position: x=-9.96, y=13.62
Elapsed Time: 15.48 seconds | Position: x=-9.91, y=13.51
Elapsed Time: 15.88 seconds | Position: x=-9.87, y=13.39
Elapsed Time: 16.18 seconds | Position: x=-9.80, y=13.26
Elapsed Time: 16.58 seconds | Position: x=-9.75, y=13.14
Elapsed Time: 16.88 seconds | Position: x=-9.68, y=13.00
Elapsed Time: 17.28 seconds | Position: x=-9.62, y=12.89
Elapsed Time: 17.59 seconds | Position: x=-9.56, y=12.79
Elapsed Time: 17.99 seconds | Position: x=-9.49, y=12.63
Elapsed Time: 18.29 seconds | Position: x=-9.43, y=12.51
Elapsed Time: 18.69 seconds | Position: x=-9.37, y=12.38
Elapsed Time: 19.02 seconds | Position: x=-9.31, y=12.27
Elapsed Time: 19.39 seconds | Position: x=-9.23, y=12.13
Elapsed Time: 19.78 seconds | Position: x=-9.18, y=12.03
Elapsed Time: 20.09 seconds | Position: x=-9.12, y=11.88
Elapsed Time: 20.48 seconds | Position: x=-9.06, y=11.73
Elapsed Time: 20.79 seconds | Position: x=-9.01, y=11.59
Elapsed Time: 21.18 seconds | Position: x=-8.95, y=11.43
Elapsed Time: 21.49 seconds | Position: x=-8.90, y=11.30
Elapsed Time: 21.88 seconds | Position: x=-8.84, y=11.16
Elapsed Time: 22.21 seconds | Position: x=-8.79, y=11.02
Elapsed Time: 22.58 seconds | Position: x=-8.74, y=10.88
Elapsed Time: 22.91 seconds | Position: x=-8.70, y=10.78
Elapsed Time: 23.39 seconds | Position: x=-8.64, y=10.66
Elapsed Time: 23.88 seconds | Position: x=-8.60, y=10.55
Elapsed Time: 25.09 seconds | Position: x=-8.59, y=10.53
Elapsed Time: 25.69 seconds | Position: x=-8.59, y=10.54
Elapsed Time: 26.10 seconds | Position: x=-8.58, y=10.52
Elapsed Time: 26.58 seconds | Position: x=-8.57, y=10.52
Elapsed Time: 27.09 seconds | Position: x=-8.59, y=10.52
Elapsed Time: 27.52 seconds | Position: x=-8.59, y=10.52
Elapsed Time: 28.00 seconds | Position: x=-8.59, y=10.49
Elapsed Time: 29.41 seconds | Position: x=-8.67, y=10.44
Elapsed Time: 30.11 seconds | Position: x=-8.77, y=10.36
Elapsed Time: 30.60 seconds | Position: x=-8.89, y=10.29
Elapsed Time: 30.99 seconds | Position: x=-9.01, y=10.24
Elapsed Time: 31.30 seconds | Position: x=-9.12, y=10.20
Elapsed Time: 31.68 seconds | Position: x=-9.24, y=10.14
Elapsed Time: 32.00 seconds | Position: x=-9.37, y=10.08
Elapsed Time: 32.39 seconds | Position: x=-9.49, y=10.04
Elapsed Time: 32.72 seconds | Position: x=-9.60, y=9.98
Elapsed Time: 33.09 seconds | Position: x=-9.74, y=9.92
Elapsed Time: 33.48 seconds | Position: x=-9.85, y=9.87
Elapsed Time: 33.78 seconds | Position: x=-9.98, y=9.82
Elapsed Time: 34.19 seconds | Position: x=-10.10, y=9.77
Elapsed Time: 34.50 seconds | Position: x=-10.24, y=9.71
Elapsed Time: 34.88 seconds | Position: x=-10.36, y=9.66
Elapsed Time: 35.20 seconds | Position: x=-10.49, y=9.60
Elapsed Time: 35.60 seconds | Position: x=-10.62, y=9.55
Elapsed Time: 35.90 seconds | Position: x=-10.75, y=9.50
Elapsed Time: 36.28 seconds | Position: x=-10.87, y=9.46
Elapsed Time: 36.62 seconds | Position: x=-10.97, y=9.42
Elapsed Time: 37.39 seconds | Position: x=-10.98, y=9.42
Elapsed Time: 37.69 seconds | Position: x=-10.98, y=9.42
Elapsed Time: 38.08 seconds | Position: x=-10.99, y=9.40
Elapsed Time: 38.39 seconds | Position: x=-11.00, y=9.39
Elapsed Time: 38.79 seconds | Position: x=-10.99, y=9.38
Elapsed Time: 39.09 seconds | Position: x=-10.96, y=9.40
Elapsed Time: 39.59 seconds | Position: x=-10.95, y=9.41
Elapsed Time: 41.70 seconds | Position: x=-10.90, y=9.29
Elapsed Time: 42.08 seconds | Position: x=-10.85, y=9.15
Elapsed Time: 42.29 seconds | Position: x=-10.80, y=9.03
Elapsed Time: 42.52 seconds | Position: x=-10.75, y=8.91
Elapsed Time: 42.80 seconds | Position: x=-10.72, y=8.80
Elapsed Time: 42.98 seconds | Position: x=-10.67, y=8.69
Elapsed Time: 43.29 seconds | Position: x=-10.63, y=8.60
Elapsed Time: 43.49 seconds | Position: x=-10.59, y=8.47
Elapsed Time: 43.70 seconds | Position: x=-10.54, y=8.37
Elapsed Time: 43.98 seconds | Position: x=-10.50, y=8.26
Elapsed Time: 44.18 seconds | Position: x=-10.46, y=8.15
Elapsed Time: 44.40 seconds | Position: x=-10.41, y=8.04
Elapsed Time: 44.68 seconds | Position: x=-10.36, y=7.90
Elapsed Time: 44.89 seconds | Position: x=-10.32, y=7.77
Elapsed Time: 45.13 seconds | Position: x=-10.27, y=7.66
Elapsed Time: 45.40 seconds | Position: x=-10.22, y=7.53
Elapsed Time: 45.60 seconds | Position: x=-10.17, y=7.41
Elapsed Time: 45.88 seconds | Position: x=-10.12, y=7.29
Elapsed Time: 46.09 seconds | Position: x=-10.08, y=7.16
Elapsed Time: 46.30 seconds | Position: x=-10.03, y=7.05
Elapsed Time: 46.60 seconds | Position: x=-9.99, y=6.95
Elapsed Time: 46.79 seconds | Position: x=-9.94, y=6.83
Elapsed Time: 47.01 seconds | Position: x=-9.88, y=6.72
Elapsed Time: 47.28 seconds | Position: x=-9.85, y=6.64
Elapsed Time: 47.49 seconds | Position: x=-9.81, y=6.52
Elapsed Time: 47.72 seconds | Position: x=-9.77, y=6.41
Elapsed Time: 47.99 seconds | Position: x=-9.73, y=6.30
Elapsed Time: 48.19 seconds | Position: x=-9.69, y=6.17
Elapsed Time: 48.49 seconds | Position: x=-9.64, y=6.04
Elapsed Time: 48.70 seconds | Position: x=-9.58, y=5.91
Elapsed Time: 48.90 seconds | Position: x=-9.52, y=5.78
Elapsed Time: 49.19 seconds | Position: x=-9.46, y=5.62
Elapsed Time: 49.39 seconds | Position: x=-9.41, y=5.50
Elapsed Time: 49.62 seconds | Position: x=-9.37, y=5.39
Elapsed Time: 49.89 seconds | Position: x=-9.32, y=5.27
Elapsed Time: 50.08 seconds | Position: x=-9.29, y=5.17
Elapsed Time: 50.31 seconds | Position: x=-9.23, y=5.05
Elapsed Time: 50.59 seconds | Position: x=-9.18, y=4.93
Elapsed Time: 50.79 seconds | Position: x=-9.14, y=4.83
Elapsed Time: 51.09 seconds | Position: x=-9.08, y=4.70
Elapsed Time: 51.28 seconds | Position: x=-9.04, y=4.58
Elapsed Time: 51.51 seconds | Position: x=-8.99, y=4.46
Elapsed Time: 51.79 seconds | Position: x=-8.94, y=4.35
Elapsed Time: 51.99 seconds | Position: x=-8.89, y=4.23
Elapsed Time: 52.20 seconds | Position: x=-8.85, y=4.11
Elapsed Time: 52.49 seconds | Position: x=-8.81, y=4.02
Elapsed Time: 52.69 seconds | Position: x=-8.77, y=3.91
Elapsed Time: 52.91 seconds | Position: x=-8.72, y=3.79
Elapsed Time: 53.19 seconds | Position: x=-8.67, y=3.66
Elapsed Time: 53.38 seconds | Position: x=-8.64, y=3.56
Elapsed Time: 53.62 seconds | Position: x=-8.60, y=3.46
Elapsed Time: 53.88 seconds | Position: x=-8.54, y=3.33
Elapsed Time: 54.11 seconds | Position: x=-8.49, y=3.20
Elapsed Time: 54.39 seconds | Position: x=-8.45, y=3.10
Elapsed Time: 54.61 seconds | Position: x=-8.39, y=2.96
Elapsed Time: 54.79 seconds | Position: x=-8.34, y=2.83
Elapsed Time: 55.08 seconds | Position: x=-8.30, y=2.73
Elapsed Time: 55.28 seconds | Position: x=-8.26, y=2.61
Elapsed Time: 55.51 seconds | Position: x=-8.21, y=2.48
