Elapsed Time: 0.00 seconds | Position: x=0.00, y=0.00
Elapsed Time: 0.00 seconds | Position: x=0.00, y=0.00
Elapsed Time: 0.00 seconds | Position: x=0.00, y=0.00
Elapsed Time: 0.00 seconds | Position: x=0.00, y=0.00
Elapsed Time: 0.00 seconds | Position: x=0.00, y=0.00
Elapsed Time: 0.00 seconds | Position: x=0.00, y=0.00
Elapsed Time: 0.00 seconds | Position: x=0.00, y=0.00
Elapsed Time: 0.00 seconds | Position: x=0.00, y=0.00
Elapsed Time: 0.00 seconds | Position: x=0.00, y=0.00
Elapsed Time: 0.00 seconds | Position: x=0.00, y=0.00
Elapsed Time: 0.08 seconds | Position: x=0.00, y=0.00
Elapsed Time: 0.18 seconds | Position: x=0.00, y=0.00
Elapsed Time: 0.29 seconds | Position: x=0.00, y=0.00
Elapsed Time: 0.38 seconds | Position: x=0.00, y=0.00
Elapsed Time: 0.48 seconds | Position: x=0.00, y=0.00
Elapsed Time: 0.58 seconds | Position: x=0.00, y=0.00
Elapsed Time: 0.68 seconds | Position: x=0.00, y=0.00
Elapsed Time: 0.78 seconds | Position: x=0.00, y=0.00
Elapsed Time: 0.88 seconds | Position: x=0.00, y=0.00
Elapsed Time: 0.97 seconds | Position: x=0.00, y=0.00
Elapsed Time: 1.09 seconds | Position: x=0.00, y=0.00
Elapsed Time: 1.18 seconds | Position: x=0.00, y=0.00
Elapsed Time: 1.28 seconds | Position: x=0.00, y=0.00
Elapsed Time: 1.38 seconds | Position: x=0.00, y=0.00
Elapsed Time: 1.49 seconds | Position: x=0.00, y=0.00
Elapsed Time: 1.58 seconds | Position: x=0.00, y=0.00
Elapsed Time: 1.68 seconds | Position: x=0.00, y=0.00
Elapsed Time: 1.78 seconds | Position: x=0.00, y=0.00
Elapsed Time: 1.87 seconds | Position: x=0.00, y=0.00
Elapsed Time: 1.98 seconds | Position: x=0.00, y=0.00
Elapsed Time: 2.08 seconds | Position: x=0.00, y=0.00
Elapsed Time: 2.19 seconds | Position: x=0.00, y=0.00
Elapsed Time: 2.29 seconds | Position: x=0.00, y=0.00
Elapsed Time: 2.38 seconds | Position: x=0.00, y=0.00
Elapsed Time: 2.48 seconds | Position: x=0.00, y=0.00
Elapsed Time: 2.58 seconds | Position: x=0.00, y=0.00
Elapsed Time: 2.67 seconds | Position: x=0.00, y=0.00
Elapsed Time: 2.78 seconds | Position: x=0.00, y=0.00
Elapsed Time: 2.88 seconds | Position: x=0.00, y=0.00
Elapsed Time: 2.99 seconds | Position: x=0.00, y=0.00
Elapsed Time: 3.08 seconds | Position: x=0.00, y=0.00
Elapsed Time: 3.18 seconds | Position: x=0.00, y=0.00
Elapsed Time: 3.28 seconds | Position: x=0.00, y=0.00
Elapsed Time: 3.38 seconds | Position: x=0.00, y=0.00
Elapsed Time: 3.48 seconds | Position: x=0.00, y=0.00
Elapsed Time: 3.58 seconds | Position: x=0.00, y=0.00
