# robot.pose.x robot.pose.y robot.pose.theta 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
2.47288 0.40037 3.14159 
