Elapsed Time: 0.00 seconds | Position: x=-7.90, y=-0.47
Elapsed Time: 6.21 seconds | Position: x=-7.92, y=-0.38
Elapsed Time: 6.92 seconds | Position: x=-7.93, y=-0.24
Elapsed Time: 7.73 seconds | Position: x=-7.94, y=-0.13
Elapsed Time: 7.74 seconds | Position: x=-7.95, y=-0.03
Elapsed Time: 8.11 seconds | Position: x=-7.97, y=0.12
Elapsed Time: 8.31 seconds | Position: x=-7.98, y=0.23
Elapsed Time: 8.60 seconds | Position: x=-7.99, y=0.35
Elapsed Time: 8.81 seconds | Position: x=-8.01, y=0.49
Elapsed Time: 9.01 seconds | Position: x=-8.03, y=0.59
Elapsed Time: 9.31 seconds | Position: x=-8.06, y=0.71
Elapsed Time: 9.80 seconds | Position: x=-8.10, y=0.83
Elapsed Time: 9.80 seconds | Position: x=-8.14, y=0.94
Elapsed Time: 10.01 seconds | Position: x=-8.17, y=1.04
Elapsed Time: 10.21 seconds | Position: x=-8.21, y=1.14
Elapsed Time: 10.42 seconds | Position: x=-8.24, y=1.25
Elapsed Time: 10.70 seconds | Position: x=-8.27, y=1.36
Elapsed Time: 10.91 seconds | Position: x=-8.29, y=1.45
Elapsed Time: 11.21 seconds | Position: x=-8.31, y=1.55
Elapsed Time: 11.41 seconds | Position: x=-8.32, y=1.66
Elapsed Time: 11.91 seconds | Position: x=-8.34, y=1.79
Elapsed Time: 11.92 seconds | Position: x=-8.35, y=1.89
Elapsed Time: 12.10 seconds | Position: x=-8.37, y=2.02
Elapsed Time: 12.32 seconds | Position: x=-8.38, y=2.15
Elapsed Time: 12.60 seconds | Position: x=-8.39, y=2.27
Elapsed Time: 12.80 seconds | Position: x=-8.39, y=2.36
Elapsed Time: 13.01 seconds | Position: x=-8.39, y=2.48
Elapsed Time: 13.31 seconds | Position: x=-8.40, y=2.62
Elapsed Time: 13.50 seconds | Position: x=-8.41, y=2.71
Elapsed Time: 14.01 seconds | Position: x=-8.42, y=2.82
Elapsed Time: 14.01 seconds | Position: x=-8.44, y=2.93
Elapsed Time: 14.20 seconds | Position: x=-8.45, y=3.04
Elapsed Time: 14.52 seconds | Position: x=-8.46, y=3.14
Elapsed Time: 14.72 seconds | Position: x=-8.48, y=3.27
Elapsed Time: 14.91 seconds | Position: x=-8.49, y=3.38
Elapsed Time: 15.21 seconds | Position: x=-8.51, y=3.51
Elapsed Time: 15.42 seconds | Position: x=-8.54, y=3.64
Elapsed Time: 15.62 seconds | Position: x=-8.56, y=3.77
Elapsed Time: 16.21 seconds | Position: x=-8.58, y=3.92
Elapsed Time: 16.22 seconds | Position: x=-8.60, y=4.05
Elapsed Time: 16.33 seconds | Position: x=-8.62, y=4.17
Elapsed Time: 16.62 seconds | Position: x=-8.64, y=4.29
Elapsed Time: 16.81 seconds | Position: x=-8.66, y=4.42
Elapsed Time: 17.10 seconds | Position: x=-8.69, y=4.53
Elapsed Time: 17.29 seconds | Position: x=-8.71, y=4.66
Elapsed Time: 17.51 seconds | Position: x=-8.73, y=4.79
Elapsed Time: 17.81 seconds | Position: x=-8.75, y=4.88
Elapsed Time: 18.30 seconds | Position: x=-8.77, y=5.01
Elapsed Time: 18.31 seconds | Position: x=-8.78, y=5.11
Elapsed Time: 18.51 seconds | Position: x=-8.79, y=5.21
Elapsed Time: 18.71 seconds | Position: x=-8.80, y=5.34
Elapsed Time: 18.92 seconds | Position: x=-8.80, y=5.46
Elapsed Time: 19.21 seconds | Position: x=-8.83, y=5.57
Elapsed Time: 19.41 seconds | Position: x=-8.84, y=5.69
Elapsed Time: 19.71 seconds | Position: x=-8.86, y=5.81
Elapsed Time: 19.91 seconds | Position: x=-8.88, y=5.92
Elapsed Time: 20.43 seconds | Position: x=-8.90, y=6.05
Elapsed Time: 20.43 seconds | Position: x=-8.93, y=6.19
Elapsed Time: 20.61 seconds | Position: x=-8.96, y=6.31
Elapsed Time: 20.83 seconds | Position: x=-8.99, y=6.42
Elapsed Time: 21.11 seconds | Position: x=-9.01, y=6.53
Elapsed Time: 21.31 seconds | Position: x=-9.02, y=6.65
Elapsed Time: 21.54 seconds | Position: x=-9.04, y=6.77
Elapsed Time: 21.81 seconds | Position: x=-9.06, y=6.87
Elapsed Time: 22.00 seconds | Position: x=-9.07, y=6.99
Elapsed Time: 22.52 seconds | Position: x=-9.09, y=7.11
Elapsed Time: 22.53 seconds | Position: x=-9.10, y=7.23
Elapsed Time: 22.73 seconds | Position: x=-9.12, y=7.35
Elapsed Time: 23.01 seconds | Position: x=-9.14, y=7.48
Elapsed Time: 23.20 seconds | Position: x=-9.16, y=7.61
Elapsed Time: 23.42 seconds | Position: x=-9.18, y=7.73
Elapsed Time: 23.71 seconds | Position: x=-9.19, y=7.86
Elapsed Time: 23.90 seconds | Position: x=-9.19, y=7.96
Elapsed Time: 24.20 seconds | Position: x=-9.20, y=8.07
Elapsed Time: 24.73 seconds | Position: x=-9.21, y=8.19
Elapsed Time: 24.74 seconds | Position: x=-9.23, y=8.30
Elapsed Time: 24.90 seconds | Position: x=-9.25, y=8.43
Elapsed Time: 25.11 seconds | Position: x=-9.27, y=8.55
Elapsed Time: 25.32 seconds | Position: x=-9.30, y=8.66
Elapsed Time: 25.61 seconds | Position: x=-9.32, y=8.77
Elapsed Time: 25.82 seconds | Position: x=-9.35, y=8.91
Elapsed Time: 26.02 seconds | Position: x=-9.38, y=9.03
Elapsed Time: 26.31 seconds | Position: x=-9.40, y=9.15
Elapsed Time: 26.82 seconds | Position: x=-9.42, y=9.26
