Elapsed Time: 0.00 seconds | Position: x=-7.80, y=-0.42
Elapsed Time: 5.07 seconds | Position: x=-7.83, y=-0.32
Elapsed Time: 5.81 seconds | Position: x=-7.84, y=-0.28
Elapsed Time: 6.48 seconds | Position: x=-7.84, y=-0.17
Elapsed Time: 6.98 seconds | Position: x=-7.84, y=-0.03
Elapsed Time: 7.28 seconds | Position: x=-7.83, y=0.10
Elapsed Time: 7.59 seconds | Position: x=-7.82, y=0.22
Elapsed Time: 8.13 seconds | Position: x=-7.81, y=0.33
Elapsed Time: 8.15 seconds | Position: x=-7.79, y=0.44
Elapsed Time: 8.28 seconds | Position: x=-7.80, y=0.55
Elapsed Time: 8.47 seconds | Position: x=-7.81, y=0.66
Elapsed Time: 8.68 seconds | Position: x=-7.78, y=0.72
Elapsed Time: 8.96 seconds | Position: x=-7.79, y=0.85
Elapsed Time: 9.16 seconds | Position: x=-7.80, y=0.96
Elapsed Time: 9.46 seconds | Position: x=-7.82, y=1.06
Elapsed Time: 9.67 seconds | Position: x=-7.85, y=1.18
Elapsed Time: 10.20 seconds | Position: x=-7.87, y=1.31
Elapsed Time: 10.21 seconds | Position: x=-7.88, y=1.40
Elapsed Time: 10.37 seconds | Position: x=-7.92, y=1.50
Elapsed Time: 10.59 seconds | Position: x=-7.96, y=1.63
Elapsed Time: 10.88 seconds | Position: x=-8.00, y=1.75
Elapsed Time: 11.07 seconds | Position: x=-8.05, y=1.94
Elapsed Time: 11.29 seconds | Position: x=-8.07, y=2.05
Elapsed Time: 11.57 seconds | Position: x=-8.09, y=2.14
Elapsed Time: 11.79 seconds | Position: x=-8.11, y=2.23
Elapsed Time: 12.30 seconds | Position: x=-8.14, y=2.34
Elapsed Time: 12.30 seconds | Position: x=-8.17, y=2.48
Elapsed Time: 12.47 seconds | Position: x=-8.19, y=2.58
Elapsed Time: 12.77 seconds | Position: x=-8.20, y=2.67
Elapsed Time: 12.97 seconds | Position: x=-8.23, y=2.85
Elapsed Time: 13.18 seconds | Position: x=-8.24, y=2.91
Elapsed Time: 13.48 seconds | Position: x=-8.28, y=3.05
Elapsed Time: 13.67 seconds | Position: x=-8.30, y=3.17
Elapsed Time: 13.89 seconds | Position: x=-8.31, y=3.30
Elapsed Time: 14.52 seconds | Position: x=-8.33, y=3.42
Elapsed Time: 14.53 seconds | Position: x=-8.37, y=3.53
Elapsed Time: 14.67 seconds | Position: x=-8.38, y=3.63
Elapsed Time: 14.86 seconds | Position: x=-8.40, y=3.74
Elapsed Time: 15.07 seconds | Position: x=-8.42, y=3.84
Elapsed Time: 15.38 seconds | Position: x=-8.44, y=3.96
Elapsed Time: 15.59 seconds | Position: x=-8.46, y=4.07
Elapsed Time: 15.78 seconds | Position: x=-8.48, y=4.19
Elapsed Time: 16.08 seconds | Position: x=-8.52, y=4.32
Elapsed Time: 16.58 seconds | Position: x=-8.54, y=4.45
Elapsed Time: 16.59 seconds | Position: x=-8.56, y=4.57
Elapsed Time: 16.77 seconds | Position: x=-8.58, y=4.69
Elapsed Time: 16.97 seconds | Position: x=-8.60, y=4.80
Elapsed Time: 17.20 seconds | Position: x=-8.62, y=4.92
Elapsed Time: 17.48 seconds | Position: x=-8.64, y=5.06
Elapsed Time: 17.67 seconds | Position: x=-8.66, y=5.17
Elapsed Time: 17.97 seconds | Position: x=-8.68, y=5.29
