# robot.pose.x robot.pose.y robot.pose.theta 
-12.3921 2.92194 0.0379071 
-12.6091 2.8953 0.0574651 
-12.6041 2.8842 0.0623263 
-12.6226 2.92591 0.0483988 
-12.6081 2.90391 0.0567603 
-12.6009 2.88598 0.0589538 
-12.6007 2.85595 0.0525594 
-12.6019 2.85647 0.06162 
-12.6018 2.85638 0.0616021 
-12.6161 2.86375 0.0613035 
-12.5968 2.85302 0.0639733 
-12.6 2.83457 0.069141 
-12.5948 2.83405 0.0561237 
-12.6033 2.84503 0.0654426 
-12.6033 2.84462 0.0654685 
-12.5961 2.83865 0.0668452 
-12.6084 2.86771 0.0574767 
-12.6061 2.84603 0.0652617 
-12.5955 2.83831 0.0698606 
-12.6017 2.85699 0.0630295 
-12.6054 2.88738 0.0590396 
-12.6039 2.91004 0.0528726 
-12.6188 2.89658 0.0571971 
-12.6086 2.89764 0.0582202 
-12.6076 2.89956 0.0573202 
-12.6174 2.88123 0.063809 
-12.6075 2.90061 0.0559434 
-12.6075 2.90072 0.0559143 
-12.606 2.88746 0.0615054 
-12.6094 2.88433 0.0617951 
-12.6132 2.89232 0.0566568 
-12.6046 2.89444 0.0594266 
-12.6109 2.87077 0.0663531 
-12.6123 2.87073 0.0659609 
-12.6034 2.86455 0.0525305 
-12.5909 2.89605 0.0533711 
-12.6032 2.8909 0.0605541 
-12.6009 2.89925 0.0523438 
-12.6046 2.90414 0.0551002 
-12.6034 2.88913 0.060988 
-12.6033 2.8892 0.0609751 
-12.6018 2.89929 0.0568952 
-12.6075 2.87247 0.0642765 
-12.6065 2.89108 0.0574163 
-12.6055 2.90943 0.0542575 
-12.6162 2.89852 0.0578945 
-12.6043 2.904 0.0569365 
-12.6043 2.90406 0.0569319 
-12.6053 2.89691 0.058736 
-12.6013 2.88808 0.0591945 
-12.606 2.89216 0.0607445 
-12.6063 2.91095 0.0522107 
-12.5981 2.90415 0.0508296 
-12.5981 2.90416 0.0508098 
-12.6024 2.89878 0.0579852 
-12.6097 2.90727 0.0545331 
-12.6071 2.90332 0.0580399 
-12.6088 2.90324 0.0562327 
-12.5994 2.89723 0.0554134 
-12.5995 2.89723 0.0554138 
-12.5875 2.8961 0.0544814 
-12.6083 2.8816 0.0614436 
-12.6074 2.91334 0.0535042 
-12.6087 2.89533 0.058462 
-12.6061 2.9105 0.0535934 
-12.6042 2.8817 0.0655028 
-12.598 2.89491 0.0566453 
-12.6071 2.87785 0.0630657 
-12.6003 2.8883 0.0585018 
-12.6065 2.89022 0.0593494 
-12.6063 2.8792 0.0647901 
-12.6041 2.88502 0.0605029 
-12.5999 2.88512 0.0517418 
-12.6 2.88503 0.0517316 
-12.6076 2.87562 0.062406 
-12.6014 2.93054 0.043971 
-12.6039 2.89946 0.057404 
-12.5991 2.91305 0.0526585 
-12.6152 2.89078 0.0607692 
-12.6152 2.89077 0.0607779 
-12.5933 2.90003 0.0487126 
-12.6073 2.89238 0.0586759 
-12.604 2.87909 0.0601795 
-12.6047 2.89318 0.0577049 
-12.6086 2.89232 0.062646 
-12.6086 2.89238 0.0626411 
-12.6 2.89766 0.0579149 
-12.6053 2.90532 0.0580961 
-12.5997 2.87613 0.0675343 
-12.598 2.90899 0.0542718 
-12.603 2.90069 0.0578576 
-12.5997 2.90604 0.0551061 
-12.607 2.89305 0.0594659 
-12.5976 2.89777 0.0581649 
-12.6054 2.90687 0.0556099 
-12.5953 2.89697 0.0540804 
-12.6039 2.89662 0.0553155 
-12.6035 2.89323 0.0599531 
-12.6035 2.89325 0.0599521 
-12.6088 2.90452 0.0549211 
-12.5971 2.91336 0.0523021 
-12.595 2.90048 0.0551246 
-12.609 2.89742 0.0580725 
-12.6062 2.89864 0.0576418 
-12.6072 2.88272 0.0637741 
-12.6057 2.87519 0.0631406 
-12.6088 2.8978 0.0570591 
-12.604 2.89424 0.0560889 
-12.6113 2.88818 0.062177 
-12.6073 2.88348 0.0633157 
-12.6131 2.87319 0.0657749 
-12.6029 2.86895 0.0647029 
-12.6029 2.86896 0.0647052 
-12.601 2.90358 0.0529624 
-12.614 2.8706 0.0685679 
-12.5989 2.89372 0.0558939 
-12.6068 2.8846 0.0597218 
-12.6008 2.91607 0.0517243 
-12.6047 2.90886 0.0544518 
-12.6098 2.88772 0.0587583 
-12.6062 2.89499 0.0605322 
-12.5942 2.91422 0.0518303 
-12.603 2.8955 0.0590575 
-12.6016 2.8904 0.0579529 
-12.6016 2.89048 0.0579542 
-12.6081 2.8708 0.0655695 
-12.5999 2.89022 0.0565229 
-12.6006 2.92318 0.0494616 
-12.6129 2.88888 0.0613163 
-12.6042 2.90983 0.0524813 
-12.6039 2.92769 0.046989 
-12.616 2.9332 0.0449815 
-12.608 2.91273 0.0520597 
-12.6134 2.90248 0.0566976 
-12.6085 2.90463 0.0549126 
-12.6097 2.89641 0.0583316 
-12.615 2.88955 0.0619938 
-12.6151 2.88955 0.0619957 
-12.6079 2.87654 0.0623646 
-12.6066 2.88802 0.0574927 
-12.596 2.88418 0.0588049 
-12.5995 2.87996 0.0602018 
-12.6035 2.92251 0.0506438 
-12.6061 2.87741 0.0650774 
-12.6051 2.87061 0.0647055 
-12.6024 2.88599 0.0582273 
-12.6026 2.89978 0.0582972 
-12.6056 2.88366 0.0598395 
-12.6152 2.87632 0.0667107 
-12.604 2.89435 0.0551304 
-12.6 2.88744 0.0581018 
-12.6 2.88743 0.0581009 
-12.6054 2.89298 0.0571182 
-12.6069 2.90115 0.055897 
-12.601 2.91434 0.0520094 
-12.6077 2.87403 0.0630403 
-12.6077 2.87502 0.062736 
-12.6096 2.88337 0.0609651 
-12.587 2.89409 0.0438662 
-12.6107 2.90502 0.0527372 
-12.6108 2.89746 0.05452 
-12.6136 2.88719 0.0593481 
-12.623 2.89785 0.0582285 
-12.6231 2.89808 0.0582288 
-12.6215 2.88871 0.0604807 
-12.6135 2.87816 0.062031 
-12.6158 2.89785 0.05646 
-12.6129 2.88033 0.0616351 
-12.6178 2.89046 0.0608166 
-12.6161 2.89657 0.0579477 
-12.6166 2.88872 0.0607128 
-12.6139 2.87916 0.0621598 
-12.615 2.88144 0.060103 
-12.6179 2.88532 0.0624435 
-12.6154 2.88259 0.0603339 
-12.6143 2.87005 0.0651179 
-12.6141 2.86961 0.0651147 
-12.6075 2.92269 0.0500124 
-12.6084 2.90851 0.0524163 
-12.6133 2.89944 0.0572877 
-12.6127 2.88295 0.0612528 
-12.6116 2.91279 0.0524921 
-12.6096 2.89805 0.058762 
-12.607 2.88996 0.0584102 
-12.6066 2.86882 0.0645679 
-12.6097 2.90361 0.0548613 
-12.6045 2.89091 0.0597444 
-12.6068 2.90502 0.0539295 
-12.6088 2.8947 0.0588189 
-12.6095 2.89676 0.0584517 
-12.6015 2.90798 0.0544536 
-12.601 2.87962 0.0651315 
-12.6077 2.90655 0.0551757 
-12.5988 2.89572 0.0582175 
-12.6018 2.90266 0.0559784 
-12.6001 2.87746 0.06113 
-12.6 2.87848 0.0607805 
-12.5998 2.90369 0.0536484 
-12.6092 2.89273 0.0601246 
-12.6055 2.9135 0.0536333 
-12.6129 2.90019 0.0572796 
-12.6089 2.89749 0.0575232 
-12.5981 2.89158 0.0582625 
-12.5981 2.89157 0.058265 
-12.5982 2.89833 0.0576028 
-12.599 2.89409 0.0594518 
-12.5972 2.89178 0.0597924 
-12.5983 2.9006 0.0563377 
-12.5988 2.89355 0.0604976 
-12.599 2.90134 0.0577837 
-12.5918 2.89403 0.0488992 
-12.598 2.90151 0.0572658 
-12.5991 2.90192 0.0564852 
-12.597 2.87851 0.0639007 
-12.5996 2.89364 0.0583959 
-12.5996 2.89366 0.0583945 
-12.6099 2.90099 0.0576613 
-12.5962 2.90361 0.0539781 
-12.5928 2.88186 0.0618937 
-12.5895 2.89001 0.0566786 
-12.595 2.90585 0.0531153 
-12.6048 2.89992 0.0575771 
-12.6048 2.89988 0.0575775 
-12.5951 2.90757 0.0549429 
-12.5935 2.91366 0.0530683 
-12.5951 2.89491 0.0587314 
-12.5977 2.89839 0.0565835 
-12.5705 2.90254 0.043847 
-12.5727 2.90302 0.0428365 
-12.5381 2.88401 0.0411865 
-12.5034 2.90378 -0.0032677 
-12.492 2.87965 -0.0132431 
-12.4315 2.84393 -0.0302594 
-12.3677 2.84719 -0.0627953 
-12.3677 2.8472 -0.0628017 
-12.3095 2.8768 -0.0979087 
-12.2642 2.81885 -0.0949293 
-12.2627 2.81921 -0.0955174 
-12.1451 2.79791 -0.124512 
-12.096 2.80706 -0.1441 
-12.0329 2.77905 -0.144247 
-12.0329 2.77909 -0.14422 
-11.965 2.78699 -0.159763 
-11.9415 2.76619 -0.16053 
-11.9104 2.76513 -0.158955 
-11.8565 2.77686 -0.163547 
-11.7885 2.76329 -0.171415 
-11.6888 2.7564 -0.172618 
-11.6489 2.73252 -0.166734 
-11.6089 2.72084 -0.172556 
-11.551 2.71235 -0.170793 
-11.5052 2.70812 -0.178181 
-11.5074 2.7109 -0.179806 
-11.4441 2.69774 -0.177833 
-11.3936 2.6714 -0.166193 
-11.329 2.66986 -0.173341 
-11.2455 2.66342 -0.173652 
-11.2517 2.64474 -0.171687 
-11.1463 2.62155 -0.164406 
-11.1061 2.60621 -0.162687 
-11.1007 2.60545 -0.162875 
-11.0395 2.59456 -0.15916 
-10.9795 2.60403 -0.170753 
-10.9201 2.61071 -0.182559 
-10.8583 2.57187 -0.171313 
-10.7492 2.58499 -0.181776 
-10.7167 2.56447 -0.17843 
-10.7452 2.53946 -0.165954 
-10.6693 2.56615 -0.184056 
-10.6102 2.55519 -0.181379 
-10.5477 2.5316 -0.175895 
-10.5476 2.53161 -0.175892 
-10.5071 2.52878 -0.181052 
-10.4411 2.49474 -0.1627 
-10.3708 2.47948 -0.170368 
-10.3591 2.49329 -0.184947 
-10.2822 2.48052 -0.176036 
-10.2838 2.83238 -0.162883 
-10.1745 2.82519 -0.174589 
-10.1778 2.83687 -0.175466 
-10.1406 2.82834 -0.174043 
-10.1031 2.81903 -0.176749 
-9.9999 2.79416 -0.18185 
-9.92269 2.78221 -0.180228 
-9.88544 2.77845 -0.188363 
-9.79497 2.73938 -0.19694 
-9.74073 2.73567 -0.192797 
-9.73996 2.74314 -0.193232 
-9.67744 2.73168 -0.1978 
-9.63273 2.70988 -0.2022 
-9.55879 2.71258 -0.19898 
-9.49503 2.64062 -0.200209 
-9.46279 2.68237 -0.201096 
-9.46347 2.68245 -0.201322 
-9.39341 2.66024 -0.206962 
-9.33381 2.66345 -0.209745 
-9.26808 2.62202 -0.197968 
-9.21306 2.60881 -0.194389 
-9.16454 2.62048 -0.201953 
-9.1646 2.62046 -0.201854 
-9.0895 2.58406 -0.199787 
-9.05851 2.58524 -0.202694 
-8.97891 2.59355 -0.203887 
-8.92852 2.56612 -0.205958 
-8.88008 2.56301 -0.205231 
-8.80737 2.54767 -0.214873 
-8.81709 2.55106 -0.21131 
-8.75548 2.54166 -0.213329 
-8.71664 2.5127 -0.205505 
-8.63593 2.51264 -0.210427 
-8.58724 2.50099 -0.208392 
-8.52917 2.49025 -0.207328 
-8.46387 2.48488 -0.212137 
-8.46389 2.48473 -0.212099 
-8.40076 2.46846 -0.215481 
-8.33104 2.45435 -0.220605 
-8.2814 2.42532 -0.204281 
-8.24265 2.4232 -0.201119 
-8.18066 2.41365 -0.204842 
-8.18091 2.41364 -0.204875 
-8.13936 2.40445 -0.202493 
-8.05032 2.39188 -0.197542 
-8.00143 2.39527 -0.204027 
-7.94217 2.38114 -0.199662 
-7.94245 2.38122 -0.199716 
-7.8653 2.36179 -0.187092 
-7.8265 2.34944 -0.194884 
-7.76451 2.34109 -0.194423 
-7.71054 2.33035 -0.195295 
-7.66535 2.30901 -0.189301 
-7.599 2.30299 -0.189499 
-7.54129 2.29631 -0.189714 
-7.54136 2.29762 -0.19056 
-7.46491 2.28294 -0.193088 
-7.41014 2.28798 -0.197844 
-7.35803 2.2653 -0.188034 
-7.30368 2.26703 -0.195424 
-7.22633 2.24455 -0.188512 
-7.20783 2.25112 -0.189707 
-7.17158 2.24581 -0.187533 
-7.08709 2.2251 -0.185127 
-7.02469 2.22273 -0.187563 
-6.99888 2.20724 -0.185026 
-6.87994 2.19537 -0.178469 
-6.86616 2.16631 -0.181608 
-6.82169 2.17657 -0.185157 
-6.78978 2.17144 -0.182022 
-6.76952 2.15452 -0.1784 
-6.71575 2.13265 -0.16906 
-6.72552 2.13205 -0.16874 
