# robot.pose.x robot.pose.y robot.pose.theta 
-12.4835 2.85547 0.131284 
-12.6453 2.848 0.133227 
-12.6454 2.84847 0.132976 
-12.6498 2.83617 0.137029 
-12.657 2.83348 0.13717 
-12.6583 2.83838 0.136381 
-12.649 2.82141 0.140791 
-12.6477 2.81057 0.146606 
-12.6415 2.85207 0.130188 
-12.643 2.85197 0.130405 
-12.6581 2.84577 0.136562 
-12.6487 2.82809 0.140824 
-12.6451 2.84152 0.133464 
-12.6495 2.83556 0.135466 
-12.6514 2.82807 0.136674 
-12.6513 2.82794 0.136687 
-12.6632 2.84077 0.132423 
-12.6467 2.8186 0.143708 
-12.6554 2.82844 0.134866 
-12.6477 2.83006 0.140074 
-12.6539 2.83038 0.138779 
-12.6438 2.81664 0.139438 
-12.6437 2.81641 0.13946 
-12.6462 2.83849 0.138652 
-12.6431 2.87097 0.121345 
-12.6479 2.83745 0.139595 
-12.6423 2.84086 0.138988 
-12.6463 2.85789 0.134883 
-12.6431 2.85853 0.134882 
-12.6457 2.84587 0.135602 
-12.643 2.84665 0.133952 
-12.6508 2.83727 0.138936 
-12.6564 2.85362 0.129781 
-12.649 2.84712 0.140203 
-12.6489 2.84714 0.1402 
-12.643 2.83848 0.145793 
-12.6452 2.84289 0.136376 
-12.6674 2.86135 0.134492 
-12.6442 2.85478 0.136911 
-12.6528 2.85126 0.131787 
-12.6509 2.84022 0.139439 
-12.6508 2.8402 0.13943 
-12.65 2.85281 0.137423 
-12.6531 2.85461 0.138163 
-12.6498 2.8198 0.150596 
-12.6483 2.8486 0.133307 
-12.6597 2.84848 0.133524 
-12.6395 2.83292 0.140696 
-12.6394 2.83292 0.140691 
-12.6577 2.83926 0.137448 
-12.6593 2.83283 0.144262 
-12.6418 2.85884 0.128577 
-12.6532 2.86307 0.132584 
-12.6353 2.85609 0.136597 
-12.6353 2.85612 0.136595 
-12.65 2.8498 0.13923 
-12.6432 2.83501 0.139746 
-12.6444 2.84366 0.13712 
-12.6456 2.84293 0.135265 
-12.6526 2.82851 0.143524 
